x,y,predicted_cluster,max_membership,membership_cluster_1,membership_cluster_2,membership_cluster_3
-1.725755,0.772011,2,0.943390,0.041610,0.943390,0.015000
-1.324594,2.158395,2,0.913864,0.051748,0.913864,0.034388
-3.755932,0.588474,2,0.826580,0.119847,0.826580,0.053572
-1.884944,1.278630,2,0.996397,0.002479,0.996397,0.001124
-2.015121,0.902869,2,0.971890,0.020149,0.971890,0.007961
-1.208542,2.044454,2,0.907123,0.056599,0.907123,0.036278
-1.940572,2.289069,2,0.946250,0.032361,0.946250,0.021390
-1.579242,0.898495,2,0.947281,0.038356,0.947281,0.014363
-1.668124,0.828782,2,0.946790,0.038932,0.946790,0.014278
-1.209395,1.465052,2,0.931112,0.046369,0.931112,0.022519
-2.166376,1.023349,2,0.981506,0.013021,0.981506,0.005473
-0.899713,1.391829,2,0.857597,0.096839,0.857597,0.045564
-2.385495,1.253507,2,0.984654,0.010482,0.984654,0.004863
-1.520922,1.755811,2,0.968746,0.020142,0.968746,0.011112
-1.628541,1.801575,2,0.975465,0.015725,0.975465,0.008810
-0.072517,1.215509,2,0.567884,0.298715,0.567884,0.133401
-2.461018,0.930359,2,0.961358,0.027213,0.961358,0.011429
-1.445619,2.290281,2,0.914446,0.050587,0.914446,0.034967
-2.102553,0.911890,2,0.972671,0.019513,0.972671,0.007817
-2.742033,1.955415,2,0.948918,0.032277,0.948918,0.018805
-1.331071,1.880208,2,0.938333,0.038811,0.938333,0.022856
-2.598959,1.662513,2,0.971038,0.018883,0.971038,0.010080
-1.894983,1.653082,2,0.995086,0.003221,0.995086,0.001693
-1.215714,1.656517,2,0.930727,0.045149,0.930727,0.024123
-1.388978,1.547305,2,0.960240,0.026434,0.960240,0.013325
-1.739793,1.941902,2,0.972501,0.017297,0.972501,0.010202
-3.311440,1.276230,2,0.905028,0.063370,0.905028,0.031602
-2.423335,1.052786,2,0.972718,0.019006,0.972718,0.008276
-2.247628,2.546459,2,0.919119,0.047529,0.919119,0.033353
-2.779248,2.177795,2,0.932635,0.041603,0.932635,0.025762
-3.514583,1.265580,2,0.884354,0.076864,0.884354,0.038782
-1.853522,1.910356,2,0.979526,0.012957,0.979526,0.007517
-1.359896,2.055343,2,0.928360,0.043843,0.928360,0.027798
-2.313853,1.176354,2,0.985437,0.010046,0.985437,0.004517
-1.227822,1.366087,2,0.932397,0.046254,0.932397,0.021349
-3.148118,0.706699,2,0.888819,0.077894,0.888819,0.033287
-2.827507,1.848013,2,0.947315,0.033643,0.947315,0.019042
-1.871817,1.983340,2,0.974297,0.016108,0.974297,0.009596
-2.384527,1.610978,2,0.985979,0.009211,0.985979,0.004809
-1.436969,1.283457,2,0.962983,0.025621,0.962983,0.011396
-1.588902,1.036652,2,0.963793,0.025867,0.963793,0.010339
-2.326748,1.232783,2,0.987107,0.008838,0.987107,0.004055
