+----------+----------+--------------+--------------+
|    x1    |    x2    |     f12      |     f21      |
+----------+----------+--------------+--------------+
|   0.00   |   0.00   |   12.0000    |   123.0000   |
|   0.00   |   0.01   |   12.4600    |   122.9218   |
|   0.00   |   0.02   |   12.9200    |   122.8472   |
|   0.00   |   0.03   |   13.3800    |   122.7762   |
|   0.00   |   0.04   |   13.8400    |   122.7088   |
|   0.00   |   0.05   |   14.3000    |   122.6450   |
|   0.00   |   0.06   |   14.7600    |   122.5848   |
|   0.00   |   0.07   |   15.2200    |   122.5282   |
|   0.00   |   0.08   |   15.6800    |   122.4752   |
|   0.00   |   0.09   |   16.1400    |   122.4258   |
|   0.00   |   0.10   |   16.6000    |   122.3800   |
|   0.00   |   0.11   |   17.0600    |   122.3378   |
|   0.00   |   0.12   |   17.5200    |   122.2992   |
|   0.00   |   0.13   |   17.9800    |   122.2642   |
|   0.00   |   0.14   |   18.4400    |   122.2328   |
|   0.00   |   0.15   |   18.9000    |   122.2050   |
|   0.00   |   0.16   |   19.3600    |   122.1808   |
|   0.00   |   0.17   |   19.8200    |   122.1602   |
|   0.00   |   0.18   |   20.2800    |   122.1432   |
|   0.00   |   0.19   |   20.7400    |   122.1298   |
|   0.00   |   0.20   |   21.2000    |   122.1200   |
|   0.00   |   0.21   |   21.6600    |   122.1138   |
|   0.00   |   0.22   |   22.1200    |   122.1112   |
|   0.00   |   0.23   |   22.5800    |   122.1122   |
|   0.00   |   0.24   |   23.0400    |   122.1168   |
|   0.00   |   0.25   |   23.5000    |   122.1250   |
|   0.00   |   0.26   |   23.9600    |   122.1368   |
|   0.00   |   0.27   |   24.4200    |   122.1522   |
|   0.00   |   0.28   |   24.8800    |   122.1712   |
|   0.00   |   0.29   |   25.3400    |   122.1938   |
|   0.00   |   0.30   |   25.8000    |   122.2200   |
|   0.00   |   0.31   |   26.2600    |   122.2498   |
|   0.00   |   0.32   |   26.7200    |   122.2832   |
|   0.00   |   0.33   |   27.1800    |   122.3202   |
|   0.00   |   0.34   |   27.6400    |   122.3608   |
|   0.00   |   0.35   |   28.1000    |   122.4050   |
|   0.00   |   0.36   |   28.5600    |   122.4528   |
|   0.00   |   0.37   |   29.0200    |   122.5042   |
|   0.00   |   0.38   |   29.4800    |   122.5592   |
|   0.00   |   0.39   |   29.9400    |   122.6178   |
|   0.00   |   0.40   |   30.4000    |   122.6800   |
|   0.00   |   0.41   |   30.8600    |   122.7458   |
|   0.00   |   0.42   |   31.3200    |   122.8152   |
|   0.00   |   0.43   |   31.7800    |   122.8882   |
|   0.00   |   0.44   |   32.2400    |   122.9648   |
|   0.00   |   0.45   |   32.7000    |   123.0450   |
|   0.00   |   0.46   |   33.1600    |   123.1288   |
|   0.00   |   0.47   |   33.6200    |   123.2162   |
|   0.00   |   0.48   |   34.0800    |   123.3072   |
